nombre,marca,categoria,precio_orig,precio_actual,desc_corta,descripcion,imagen_url,url_detalle
3x1 LAMBORGHINI: ACQUA EDT 125 ML @ + CLASSICO EDT 125 ML @ + MITICO EDT 125 ML,TONINO LAMBORGHINI,,49.00,9.99,3x1 LAMBORGHINI: ACQUA EDT 125 ML @ + CLASSICO EDT 125 ML @ + MITICO EDT 125 ML,,https://perfumedigital.es/catalog/packtonino23.JPG,https://perfumedigital.es/index.php?op=descripcion&id=40223
FLOWER BY KENZO IKEBANA EDP 40 ML REGULAR,KENZO,,66.00,19.99,FLOWER BY KENZO IKEBANA EDP 40 ML REGULAR,,https://perfumedigital.es/catalog/fbkikeb212331.jpg,https://perfumedigital.es/index.php?op=descripcion&id=40295
"SET ROCHAS GIRL LIFE EDP 75 ML + MINIATURA 7,5 ML + BODY LOCION 100 ML REGULAR",Rochas,,89.00,24.99,"SET ROCHAS GIRL LIFE EDP 75 ML + MINIATURA 7,5 ML + BODY LOCION 100 ML REGULAR",,https://perfumedigital.es/catalog/rochasgirlf2122.jpg,https://perfumedigital.es/index.php?op=descripcion&id=40301
ANTONIO BANDERAS THE SECRET ABSOLU (HOMBRE) EDP 100 ML,Antonio Banderas,,24.00,8.99,ANTONIO BANDERAS THE SECRET ABSOLU (HOMBRE) EDP 100 ML,,https://perfumedigital.es/catalog/THESECRABSUL2.jpg,https://perfumedigital.es/index.php?op=descripcion&id=38676
ANTONIO BANDERAS HER SECRET ABSOLU EDP 80 ML,Antonio Banderas,,24.00,8.99,ANTONIO BANDERAS HER SECRET ABSOLU EDP 80 ML,,https://perfumedigital.es/catalog/hers1cabsulo34.jpg,https://perfumedigital.es/index.php?op=descripcion&id=38677
BENETTON WE ARE TRIBE INTENSE EDP 90 ML,BENETTON,,57.00,8.99,BENETTON WE ARE TRIBE INTENSE EDP 90 ML,,https://perfumedigital.es/catalog/tribeinten23451.jpg,https://perfumedigital.es/index.php?op=descripcion&id=38678
BENETTON SISTERLAND GOLDEN VANILLA EDP 80 ML,BENETTON,,57.00,7.99,BENETTON SISTERLAND GOLDEN VANILLA EDP 80 ML,,https://perfumedigital.es/catalog/goldenvanilla234.jpg,https://perfumedigital.es/index.php?op=descripcion&id=38679
PACK 4x1 ADIDAS: DYNAMIC PULSE EDT 100 ML @ + PURE GAME 100 ML @ + ICE DIVE EDT 100 ML @ + VICTORY EDT 100 ML,ADIDAS,,24.00,9.99,PACK 4x1 ADIDAS: DYNAMIC PULSE EDT 100 ML @ + PURE GAME 100 ML @ + ICE DIVE EDT 100 ML @ + VICTORY EDT 100 ML,,https://perfumedigital.es/catalog/4x1adidasv5.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38900
PACK 4x1: NIKE PINK EDT 100 ML @ + NIKE PURPLEMOOD EDT 100 ML @ + NIKE TRENDYPINK EDT 100 ML @ + NIKE ULTRA PINK EDT 100 ML,NIKE,,39.00,9.99,PACK 4x1: NIKE PINK EDT 100 ML @ + NIKE PURPLEMOOD EDT 100 ML @ + NIKE TRENDYPINK EDT 100 ML @ + NIKE ULTRA PINK EDT 100 ML,,https://perfumedigital.es/catalog/pack4x1nike234.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38905
PACK 4 FRAGANCIAS ALVAREZ GOMEZ: FRUIT TEA COLLECTION COCO 100 ML @ + VAINILLA 100 ML @ + FRESA 100 ML @ + BERGAMOTA 50 ML,ALVAREZ GOMEZ,,18.00,6.99,PACK 4 FRAGANCIAS ALVAREZ GOMEZ: FRUIT TEA COLLECTION COCO 100 ML @ + VAINILLA 100 ML @ + FRESA 100 ML @ + BERGAMOTA 50 ML,,https://perfumedigital.es/catalog/4x1alvarezg23.JPG,https://perfumedigital.es/index.php?op=descripcion&id=38925
BOSS SELECTION EDT 100 ML,Hugo Boss,,61.00,19.99,BOSS SELECTION EDT 100 ML,,https://perfumedigital.es/catalog/bossselec3231.jpg,https://perfumedigital.es/index.php?op=descripcion&id=39045
GISADA AMBASSADORA WOMAN EDP 100 ML @ (Sin caja),GISADA,,129.00,39.99,GISADA AMBASSADORA WOMAN EDP 100 ML @ (Sin caja),,https://perfumedigital.es/catalog/ambasaador241.jpg,https://perfumedigital.es/index.php?op=descripcion&id=39082
LATTAFA VELVET ROSE EDP 100 ML UNISEX REGULAR,LATTAFA,,32.00,19.99,LATTAFA VELVET ROSE EDP 100 ML UNISEX REGULAR,,https://perfumedigital.es/catalog/samsarvelvt2o2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=39178
MARC JACOBS DAISY EAU SO FRESH EDT 125ML @ + NECESER MARC JACOBS DAISY,MARC JACOBS,,144.00,36.99,MARC JACOBS DAISY EAU SO FRESH EDT 125ML @ + NECESER MARC JACOBS DAISY,,https://perfumedigital.es/catalog/daisyneceser2.JPG,https://perfumedigital.es/index.php?op=descripcion&id=39447
D&G Q (QUEEN - REINA) INTENSE EDP 50 ML REGULAR,Dolce & Gabbana,,88.00,44.99,D&G Q (QUEEN - REINA) INTENSE EDP 50 ML REGULAR,,https://perfumedigital.es/catalog/QINTENSE221.jpg,https://perfumedigital.es/index.php?op=descripcion&id=39547
CHLOE ROSE NATURELLE INTENSE EDP 100 ML REGULAR,CHLOE,,92.00,39.99,CHLOE ROSE NATURELLE INTENSE EDP 100 ML REGULAR,,https://perfumedigital.es/catalog/rosenaturoin21.jpg,https://perfumedigital.es/index.php?op=descripcion&id=39582
